_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
6728b20b6aeef0b7185e74d9,,54.38,86.73,78.37,69.46,68;7;1;2,time,15,-1,2,15.01,0,0.9,false,false,english,none,normal,false,false,false,,1730720267000
67210d1450538de2c2643741,,47.98,83.7,71.97,72.16,60;7;1;1,time,15,-1,0,15.01,0,0,false,false,english,none,normal,false,false,false,,1730219284000
671e5a8c50538de2c2450cd3,,53.58,92.86,64.78,57.38,67;3;0;0,time,15,-1,1,15.01,0,1.21,false,false,english,none,normal,false,false,false,,1730042508000
671e5a7650538de2c2450bd7,,61.58,92.08,80.78,71.07,77;4;0;1,time,15,-1,3,15,0,4.53,false,false,english,none,normal,false,false,false,,1730042486000
671cd31c50538de2c23796ce,,46.4,75.79,75.19,66.06,58;12;4;0,time,15,-1,3,15,0,14.26,false,false,english,none,normal,false,false,false,,1729942300000
671cd2f950538de2c237956d,,61.6,92.55,73.59,78.62,77;3;0;0,time,15,-1,2,15,0,7.79,false,false,english,none,normal,false,false,false,,1729942265000
671cd2c350538de2c2379340,,52,75.96,81.6,64.11,65;13;3;1,time,15,-1,1,15,0,2.06,false,false,english,none,normal,false,false,false,,1729942211000
671b8b8650538de2c229d95d,,64.75,95.45,68.74,72.97,81;1;0;0,time,15,-1,2,15.01,0,6.16,false,false,english,none,normal,false,false,false,,1729858438000
671b8b6a50538de2c229d7cb,,61.59,83.65,83.19,71.9,77;12;1;1,time,15,-1,3,15,0,4.55,false,false,english,none,normal,false,false,false,,1729858410000
671b8b4e50538de2c229d650,,63.99,90.1,79.19,71.07,80;5;0;1,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1729858382000
671b430b50538de2c226e971,,82.39,100,82.39,83.3,103;0;0;0,time,15,-1,1,15,0,1.26,false,false,english,none,normal,false,false,false,,1729839883000
671b42f450538de2c226e89e,,63.17,93.18,70.37,86.27,79;4;0;1,time,15,-1,1,15.01,0,3.9,false,false,english,none,normal,false,false,false,,1729839860000
